
random Access
n = 1.000: 
	Tango	Splay 
 1.	138,8	6,6
 2.	326,8	15,5
 3.	347,0	13,7
 4.	151,4	6,3
 5.	138,2	6,5
 6.     305,5	6,2
 7.	139,5	6,8
 8.	153,2	6
 9.	143,4	6
10.	138,8	6,6
avg: 	198,3	8

n = 10.000: 
	Tango	Splay 
 1.     342,4	25
 2.	474,3	24,7
 3.	553,4	24,5
 4.	502,0	26,3
 5.	475,9	25,1
 6.	243,2 	10,5
 7.	548,8	23,4
 8.	477,7	10,3
 9.	528,4	23,8
10.	235,6 	9,9
avg:	483,1	20,3



n = 100.000: 
	Tango	Splay 
 1.	353,5	16,1
 2.	841,5	21,2
 3.	345,4	15,3
 4.     819	30,6
 5.	352,2	15,2
 6.	344,7	16
 7.	334,4	16
 8.	329,3	15,5
 9.	328,6	15,1
10.	331,6	15,6
avg:	438	17,7

n = 1.000.000: 
	Tango	Splay 
 1.     469,4	32,5
 2.	469,5	32
 3.	468,6	33,7
 4.	474,8	32,7
 5.	469,5	32,6
 6.	467	32,8
 7.	468,7	34
 8.	465,7	31,4
 9.	465,6	33,6
10.	488,8	32,1
avg:	470,8	32,7



n = 10.000.000: 
	Tango	Splay 
 1.     1955,6	55,6
 2.	1557,3	53
 3.	1572,2	53,1
 4.	1569,3	52,5
 5.	1574,6	53
 6.	1579,8	54,1
 7.	1580,1	53,5
 8.	1575,4	54
 9.	1570,4	54,1
10.	1600,7	54,3
avg:	1613,5	53,7		
			
n = 16.000.000: 
	Tango	Splay 
 1.     3020,5	60,5
 2.	3033,1	60,1
 3.	3017,1	58,3
 4.	3166,4	126,1
 5.	5036,1	66
 6.	3181,6	67,5
 7.	3257,1	68,5
 8.	3260,4	69,8
 9.	3260,2	71,3
10.	3134,7	72,8
avg:	3020,7	72,1		
			
			
			
			
			
			
bit reversal permutation
	Tango     Splay			
17.     2.2       0.1
18.     4.1       0.3
19.     12.1      1.7
20.     45.7      3.5
21.	98.9	  5.5	
22.	140.3	  12.8	
23.     258.2	  20.7		
24.	457.3     35



Static Finger 1:

n = 1.000: 
	Tango	Splay 
 1.     110,8	4,6
